Train, Test, random_state, Accuracy,Balanced Accuracy,F1 Score,Fbeta Score,Matthews Correlation Coefficient,Precision Score,Recall Score,Accuracy Unpadded,Balanced Accuracy Unpadded,F1 Score Unpadded,Fbeta Score Unpadded,Matthews Correlation Coefficient Unpadded,Precision Score Unpadded,Recall Score Unpadded
bpRNA+RNAstrand, bpRNA, 42, 95.54,87.72,89.57,91.09,91.48,92.29,87.72,86.96,83.63,86.11,88.15,78.5,89.76,83.63
bpRNA+RNAstrand, RNAstrand, 42, 92.01,85.53,86.47,87.51,87.16,88.41,85.53,81.67,80.71,82.0,83.4,72.51,84.62,80.71
